word,type_name
acid test,noun
acid value,noun
acid-base equilibrium,noun
acid-base indicator,noun
acid-fast,adjective
acid-forming,adjective
acid-loving,adjective
acid-tasting,adjective
acid-wash,verb
acidemia,noun
acidic,adjective
acidic hydrogen,noun
acidification,noun
acidified,verb
acidify,verb
acidifying,verb
acidimetric,adjective
acidimetry,noun
acidity,noun
acidophil,noun
acidophilic,adjective
acidophilus,noun
acidophilus milk,noun
acidosis,noun
acidotic,adjective
acids,noun
acidulous,adjective
acinar,adjective
Acinonyx,noun
Acinos,noun
acinus,noun
Acipenser,noun
Acipenseridae,noun
ackee,noun
acknowledge,verb
acknowledgeable,adjective
acknowledged,verb
acknowledgement,noun
acknowledges,verb
acknowledging,verb
acknowledgment,noun
aclinic line,noun
acme,noun
acne,noun
acne rosacea,noun
acne vulgaris,noun
acned,adjective
acneiform,adjective
Acnidosporidia,noun
Acocanthera,noun
acolyte,noun
acolytes,noun
Aconcagua,noun
aconite,noun
aconites,noun
Aconitum,noun
Acoraceae,noun
acorea,noun
acorn,noun
acorn barnacle,noun
acorn squash,noun
acorn tube,noun
acorn-shaped,adjective
acorns,noun
Acorus,noun
acoustic,adjective
acoustic buoy,noun
acoustic delay line,noun
acoustic device,noun
acoustic guitar,noun
acoustic modem,noun
acoustic nerve,noun
acoustic phenomenon,noun
acoustic power,noun
acoustic radiation pressure,noun
acoustic resistance,noun
acoustic storage,noun
acoustically,adverb
acoustician,noun
acoustics,noun
acquaint,verb
acquaintance,noun
acquaintance’,noun
acquaintances,noun
acquaintanceship,noun
acquainted,adjective
acquainted,verb
acquaintedp,adjective
acquainting,verb
acquaints,verb
acquiesce,verb
acquiesced,verb
acquiescence,noun
acquiescent,adjective
acquiesces,verb
acquiescing,verb
acquirable,adjective
acquire,verb
acquired,verb
acquired hemochromatosis,noun
acquired immunity,noun
acquired taste,noun
acquirer,noun
acquires,verb
acquiring,verb
acquisition,noun
acquisitions,noun
acquisitive,adjective
acquisitiveness,noun
acquit,verb
acquits,verb
acquittal,noun
acquittals,noun
acquittance,noun
acquitted,verb
acquitting,verb
Acrasiomycetes,noun
Acre,noun
Acre,noun
acre inch,noun
acre-foot,noun
acreage,noun
acreages,noun
acres,noun
acrid,adjective
Acrididae,noun
acridity,noun
Acridotheres,noun
acrimonious,adjective
acrimoniously,adverb
acrimony,noun
Acris,noun
acritical,adjective
acroanesthesia,noun
acrobat,noun
Acrobates,noun
acrobatic,adjective
acrobatic stunt,noun
acrobatics,noun
acrobats,noun
acrocarp,noun
acrocarpous,adjective
Acrocarpus,noun
acrocentric,adjective
acrocentric chromosome,noun
Acrocephalus,noun
Acroclinium,noun
Acrocomia,noun
acrocyanosis,noun
acrodont,noun
acrogen,noun
acrogenic,adjective
acromegalic,adjective
acromegaly,noun
acromicria,noun
acromion,noun
acromphalus,noun
acromyotonia,noun
acronym,noun
acronymic,adjective
acronyms,noun
acropetal,adjective
acrophobia,noun
acrophobic,adjective
acrophony,noun
acropolis,noun
Acropora,noun
acroscopic,adjective
acrosome,noun
Across,adverb
Across,adverb
across the board,adverb
across-the-board,adjective
acrostic,noun
Acrostichum,noun
acrylamide,noun
acrylic,noun
acrylic fiber,noun
